"NUTS","Country","Population","Population_density","Students_in_tertiary_education","%_early_leavers_from_education","%_of_NEET","%_of_people_studying_or_training","Students","Life_expectancy","Deaths","Discharges_after_respiratory_disease","Hospital_beds","Health_personnel","Air_passengers","Vehicles","Farm_labour_force","Utilised_agricoltural_area","Unemployement_rate","Compensation_of_employees","Hours_worked","GDP","GVA","First_wave_density","Second_wave_density","Latitude","Longitude"
"DE7","DE",6288080,468.660526315789,249223.242841959,11.45,7.6,7.54594594594595,249223.242841959,81.2921052631579,1179.44078947368,97520.8766923418,715.437403989276,26773,70436,2545001,24200,771890,4,48759.1065789474,3252718,91403.947631579,106.8,0.00223056958562868,0.0269824811389168,50.6006,9.0325
"DE8","DE",1608138,71.3,63737.320024138,11.5,6.8,5.2,63737.320024138,81.2921052631579,1362.96,41449,1429.62514614491,7079,126,986526,17130,1340960,4.6,24185.9,1087824,46711.17,106.6,0.000608156762665891,0.013827793385891,53.7138,12.4675
"DE9","DE",7993608,468.660526315789,316820.541050277,11.45,6,7.54594594594595,316820.541050277,81.2921052631579,1179.44078947368,123971.651139126,562.790623617881,30743,6287,1095060,73330,2590900,4.4,48759.1065789474,1143103,91403.947631579,106.8,0.00196694659032567,0.0177897139814712,52.7621,9.1837
"DEA","DE",17947221,468.660526315789,711324.381627031,11.45,8.9,7.54594594594595,711324.381627031,81.2921052631579,1179.44078947368,278340.721827841,250.664302360621,80962,43439,3062624,60000,1463030,5.1,48759.1065789474,3826268,91403.947631579,106.8,0.0031057733116453,0.0257972529563212,51.4749,7.5507
"DEB","DE",4093903,468.660526315789,162258.715146821,11.45,5.3,7.54594594594595,162258.715146821,81.2921052631579,1179.44078947368,63491.7191978169,1098.88476382486,16445,1597,1082958,36920,706950,2.2,48759.1065789474,1030052,91403.947631579,106.8,0.00205818261937325,0.0222589543523625,49.5093,7.9074
"DEC","DE",986887,385.5,39114.5116567493,11.7,8.225,5.3,39114.5116567493,81.2921052631579,1398.5,16991,1814.47276604235,4805,343,1390516.36842105,1800,77920,3.96428571428571,19864.81,1645768.68421053,36382.55,100.6,0.00307836662150783,0.025349406770988,49.3922,6.957
"DED","DE",4071971,468.660526315789,161389.45709635,11.45,8.225,7.54594594594595,161389.45709635,81.2921052631579,1179.44078947368,63151.5791443162,1104.80345544624,16841,4197,1390516.36842105,22940,906640,3.96428571428571,48759.1065789474,1645768.68421053,91403.947631579,106.8,0.00141651303508792,0.0452365697103442,51.0583,13.3332
"DEE","DE",2194782,108.7,86988.5064075457,12.7,7.1,5.2,86988.5064075457,81.2921052631579,1511.31,44487,1429.03879699522,9007,10858.9130434783,1376196,16120,1172780,4.8,32943.95,1452109,63725.12,102.5,0.000974584263949677,0.0255250863183678,52.011,11.6996
"DEF","DE",2903773,188.2,115088.822587646,14.8,9.3,7.4,115088.822587646,81.2921052631579,1241.54,49851,1665.49643066693,12504,130,1876900,25520,990450,3.4,48028.67,1960862,98261.1,107.6,0.00132586121573553,0.0127231019780127,54.0804,9.8212
"DEG","DE",2133378,132.4,84554.8058179432,9.6,5.7,6,84554.8058179432,81.2921052631579,1388.99,40560,1475.28348290696,8941,150,1366858,15940,780670,4.2,34106.75,1509518,63946.76,103.3,0.00165090293421981,0.0326365041731939,50.9044,11.0218
